File,aid,Date,2057,2058,2061,2062,2065,2066,2069,2070,2109,2110,2112,2114,2116,2118,2120,2122,2124,2126,2172,2181,2182,2185,2186,2189,2190,2193,2194,2237,2253,2254,2257,2258,2261,2265,2266,2317,2318,2321,2325,2326,2329,2330,2372,2376,2380,2382,2384,2428,2441,2442,2445,2446,2449,2450,2453,2454,2493,2513,2514,2517,2518,2521,2522,2525,3094,3098,3102,3106,3150,3154,3158,3162,3198,3218,3222,3226,3230,3290,3294,3298,3354,3358,3362,3366,3410,3414,3418,3478,3482,3486,3490,3550,3554,3558,3562,4105,4106,4107,4109,4110,4111,4113,4114,4117,4118,4157,4158,4160,4163,4164,4166,4167,4168,4170,4171,4172,4174,4220,4223,4229,4230,4231,4233,4234,4235,4237,4238,4241,4242,4285,4287,4301,4305,4307,4309,4310,4313,4314,4349,4365,4366,4367,4369,4370,4371,4373,4374,4377,4378,4413,4415,5142,5146,5147,5150,5154,5198,5199,5202,5203,5206,5210,5247,5266,5270,5274,5275,5278,5338,5342,5346,5350,5402,5406,5410,5414,6153,6154,6155,6157,6158,6159,6161,6162,6163,6166,6207,6208,6211,6212,6214,6215,6216,6218,6220,6222,6268,6271,6277,6281,6285,6287,6289,6290,6333,6349,6353,6357,6358,6361,6413,6415,6417,6418,6419,6421,6422,6423,6425,6426,6463,7190,7191,7194,7195,7198,7202,7231,7246,7250,7251,7254,7258,7295,7314,7318,7322,7326,7359,7450,7451,7454,7455,7458,7487,18445,18449,18450,18453,18457,18705,18709,18713,19482,19486,20493,20494,20495,20497,20498,20501,20502,20505,20753,20755,20757,20759,20761,20765,21530,21790,22541,22542,22543,22545,22546,22547,22549,22550,22554,22589,22591,22801,23578,34833,34834,34838,34841,34888,34892,34896,34900,34957,34961,34965,34966,34969,35029,35033,35037,35041,35093,35097,35101,35102,35148,35152,35156,35160,35217,35218,35221,35222,35225,35229,35230,35289,35290,35293,35294,35297,35298,35301,35302,35930,35934,35938,35994,35998,36006,36066,36070,36138,36186,36190,36194,36254,36258,36262,36326,36330,36334,36338,36881,36882,36885,36889,36890,36936,36940,36944,36946,36948,36950,36991,37005,37007,37009,37013,37014,37017,37018,37053,37077,37081,37083,37085,37089,37141,37142,37143,37145,37146,37147,37149,37150,37153,37154,37181,37183,37922,37926,37978,37982,37986,38015,38046,38050,38054,38122,38178,38182,38183,38186,38190,38207,38937,38984,38988,38992,38996,39057,39061,39062,39065,39129,39189,39190,39191,39193,39197,39198,39229,39231,39967,39974,40022,40026,40030,40034,40094,40102,40226,40230,40234,40238,40255,51199,51221,51225,51229,51481,51681,53269,53273,53277,53281,53529,53531,53533,53537,53541,55317,55577,55579
_500m_16_days_VI_Quality_2001017_aid0001,aid0001,2001-01-17,,,,,,,,,,,,,,,2129.0,7.0,,,,,,34.0,,2.0,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,15.0,,,,,,,,,,,76.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,646.0,30.0,,,,,,,,,33.0,,,,,,,,,,64.0,7.0,,,,,,,,,65.0,,2.0,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,15.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,3.0,,,,,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001033_aid0001,aid0001,2001-02-02,,,1.0,,,,,,,,2363.0,,122.0,1.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,639.0,7.0,11.0,10.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,10.0,,3.0,,,,,,,,,49.0,,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001049_aid0001,aid0001,2001-02-18,,,,,,,,,,,1517.0,,829.0,,,,,,,125.0,,9.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,3.0,138.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,1.0,,,,,,,,,,,
_500m_16_days_VI_Quality_2001065_aid0001,aid0001,2001-03-06,,,,,,,,,,,2387.0,,137.0,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,420.0,,148.0,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,4.0,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001081_aid0001,aid0001,2001-03-22,,,,,,,,,,,2354.0,,138.0,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.0,,185.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,7.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001097_aid0001,aid0001,2001-04-07,,5.0,19.0,2.0,,,,,,,2162.0,,93.0,,,,,,,3.0,,127.0,,,,,,,,,,,,,,3.0,,24.0,,,,,29.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,2.0,7.0,,,,,,,,512.0,,52.0,,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,,23.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,1.0,,,,,,,47.0,,3.0,,,,,,,,,,16.0,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001113_aid0001,aid0001,2001-04-23,,,,,,,,,,,2560.0,,43.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,,131.0,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,1.0,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001129_aid0001,aid0001,2001-05-09,,,,,,,,,,,2124.0,,357.0,,,,,,,14.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.0,,304.0,,,,,,,,,,3.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001145_aid0001,aid0001,2001-05-25,7.0,42.0,,,,,,,,,1377.0,,,,,,,,,380.0,,,,,,,,,25.0,,226.0,,,,,5.0,,,,,,,264.0,,,,,,104.0,,,,,,,,,6.0,,9.0,,,,,4.0,1.0,,,,,,,,3.0,,,,7.0,24.0,,,,,,4.0,,,3.0,,,,5.0,5.0,,,,54.0,,,3.0,,,,,,,,218.0,,,,,,,,,,,,26.0,,,,,,,,,,,,,84.0,,,,,,,118.0,,,119.0,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,8.0,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,21.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,4.0,28.0,,,,,,,15.0,,,,5.0,,,,,,,3.0,,1.0,,,,,,,,,,,,7.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,42.0,,,,25.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,2.0,,,,,64,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2001353_aid0001,aid0001,2001-12-19,,,,,3.0,,,,,,,,,,2526.0,,6.0,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,18.0,,,,,,,,658.0,,,44.0,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,
_500m_16_days_VI_Quality_2002001_aid0001,aid0001,2002-01-01,,,10.0,,,,,,,,,,2040.0,,379.0,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,,,221.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,
